sku,name,color,category,gender,movement,price_suggested,status,description,brand,price,stock,,,,,,,,,,,,,,,sku,name,color,category,gender,movement,price_suggested,status,description,brand,price,stock,,
1941BG-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1941BG-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1941BG-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1941BG-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1943G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1943G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1945G-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1945G-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1945G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1945G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1945G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1945G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1946G,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1946G,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1946G-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1946G-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1946G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1946G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1946G-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1946G-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1946G-7,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1946G-7,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1946G-8,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1946G-8,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
